time,btc__current_supply_native_units_value,btc__current_supply_native_units_type,btc__market_cap_usd_value,btc__market_cap_usd_type,btc__usd_4_00pm_new_york_price__index_value_value,btc__usd_4_00pm_new_york_price__index_value_type,btc__usd_11_00am_london_price__index_value_value,btc__usd_11_00am_london_price__index_value_type,eth__current_supply_native_units_value,eth__current_supply_native_units_type,eth__market_cap_usd_value,eth__market_cap_usd_type,eth__usd_11_00am_london_price__index_value_value,eth__usd_11_00am_london_price__index_value_type,eth__usd_4_00pm_new_york_price__index_value_value,eth__usd_4_00pm_new_york_price__index_value_type,usdc__usd_4_00pm_new_york_price__index_value_value,usdc__usd_4_00pm_new_york_price__index_value_type,usdc__usd_11_00am_london_price__index_value_value,usdc__usd_11_00am_london_price__index_value_type,usdc__current_supply_native_units_value,usdc__current_supply_native_units_type,usdc__market_cap_usd_value,usdc__market_cap_usd_type,usdt__usd_4_00pm_new_york_price__index_value_value,usdt__usd_4_00pm_new_york_price__index_value_type,usdt__usd_11_00am_london_price__index_value_value,usdt__usd_11_00am_london_price__index_value_type,xrp__current_supply_native_units_value,xrp__current_supply_native_units_type,xrp__usd_11_00am_london_price__index_value_value,xrp__usd_11_00am_london_price__index_value_type,xrp__usd_4_00pm_new_york_price__index_value_value,xrp__usd_4_00pm_new_york_price__index_value_type,xrp__market_cap_usd_value,xrp__market_cap_usd_type,ada__current_supply_native_units_value,ada__current_supply_native_units_type,ada__usd_11_00am_london_price__index_value_value,ada__usd_11_00am_london_price__index_value_type,ada__usd_4_00pm_new_york_price__index_value_value,ada__usd_4_00pm_new_york_price__index_value_type,ada__market_cap_usd_value,ada__market_cap_usd_type,sol__market_cap_estimated_usd_value,sol__market_cap_estimated_usd_type,sol__usd_11_00am_london_price__index_value_value,sol__usd_11_00am_london_price__index_value_type,sol__usd_4_00pm_new_york_price__index_value_value,sol__usd_4_00pm_new_york_price__index_value_type,doge__usd_4_00pm_new_york_price__index_value_value,doge__usd_4_00pm_new_york_price__index_value_type,doge__usd_11_00am_london_price__index_value_value,doge__usd_11_00am_london_price__index_value_type,doge__current_supply_native_units_value,doge__current_supply_native_units_type,doge__market_cap_usd_value,doge__market_cap_usd_type,trx__market_cap_usd_value,trx__market_cap_usd_type,trx__current_supply_native_units_value,trx__current_supply_native_units_type,trx__usd_4_00pm_new_york_price__index_value_value,trx__usd_4_00pm_new_york_price__index_value_type,trx__usd_11_00am_london_price__index_value_value,trx__usd_11_00am_london_price__index_value_type
2023-11-07,19535868.03,historical,691931000000.0,historical,35624.75001,historical,34669.81056,historical,120270064.9,historical,226852000000.0,historical,1874.446459,historical,1900.002061,historical,1.000682172,historical,1.000168676,historical,22408306518.0,historical,22412674952.0,historical,1.000715079,historical,1.000517601,historical,99988169352.0,historical,0.681234559,historical,0.690849291,historical,68558270373.0,historical,34586564401.0,historical,0.345464259,historical,0.353832151,historical,12140632217.0,historical,18072942402.0,historical,40.8830269,historical,44.07387722,historical,0.074171117,historical,0.073299764,historical,141739000000.0,historical,10409029743.0,historical,9663022210.0,historical,100000000000.0,historical,0.096841212,historical,0.096467201,historical
2023-11-08,19536799.28,historical,699376000000.0,historical,35624.25564,historical,35383.64152,historical,120269307.5,historical,227628000000.0,historical,1886.300133,historical,1895.776343,historical,1.000282164,historical,0.999975289,historical,22282068862.0,historical,22285183329.0,historical,1.000380898,historical,1.000257139,historical,99988166617.0,historical,0.692112545,historical,0.690820966,historical,68807122854.0,historical,34587783299.0,historical,0.356964307,historical,0.357538264,historical,12410152987.0,historical,18233136876.0,historical,43.24930241,historical,43.09971641,historical,0.075252076,historical,0.074834766,historical,141752000000.0,historical,10719110204.0,historical,9845320158.0,historical,100000000000.0,historical,0.098265836,historical,0.097685029,historical
2023-11-09,19537693.03,historical,716551000000.0,historical,36360.73447,historical,36814.64043,historical,120266306.2,historical,254460000000.0,historical,1914.453685,historical,2026.529611,historical,0.999932853,historical,1.000149052,historical,22172306199.0,historical,22172175742.0,historical,0.999965122,historical,1.000620685,historical,99988164069.0,historical,0.699619308,historical,0.651051579,historical,66593292943.0,historical,34589445784.0,historical,0.373380299,historical,0.355300724,historical,12691279987.0,historical,19037621461.0,historical,46.76460686,historical,43.84265252,historical,0.070899772,historical,0.076099949,historical,141765000000.0,historical,10365172809.0,historical,9886111583.0,historical,100000000000.0,historical,0.097718007,historical,0.099836215,historical
2023-11-10,19538655.53,historical,730111000000.0,historical,37220.47991,historical,36619.85237,historical,120264467.6,historical,250239000000.0,historical,2094.541592,historical,2087.022039,historical,1.000117918,historical,1.000202317,historical,22175670544.0,historical,22175464017.0,historical,1.00052756,historical,1.000279123,historical,99988161616.0,historical,0.656746277,historical,0.65934113,historical,66049291476.0,historical,34590651760.0,historical,0.375612734,historical,0.37629396,historical,13334830808.0,historical,23927518224.0,historical,49.30301937,historical,54.52898521,historical,0.074435924,historical,0.074449172,historical,141779000000.0,historical,10680212651.0,historical,10627310530.0,historical,100000000000.0,historical,0.105777464,historical,0.100041184,historical
2023-11-11,19539655.53,historical,722575000000.0,historical,37046.76558,historical,37007.60677,historical,120263674.2,historical,246099000000.0,historical,2062.801643,historical,2064.953219,historical,0.999987272,historical,1.000031102,historical,22236059449.0,historical,22236294048.0,historical,1.000388803,historical,1.000580533,historical,99988159082.0,historical,0.671783735,historical,0.669287971,historical,66161201055.0,historical,34592285196.0,historical,0.382503233,historical,0.385712191,historical,13272580770.0,historical,23777177393.0,historical,54.92006112,historical,57.94064998,historical,0.080012232,historical,0.080324926,historical,141792000000.0,historical,11071144975.0,historical,10793038340.0,historical,100000000000.0,historical,0.108456989,historical,0.10620663,historical
2023-11-12,19540661.78,historical,724047000000.0,historical,37136.42188,historical,37107.91074,historical,120263034.2,historical,245931000000.0,historical,2050.950149,historical,2050.255617,historical,0.999986369,historical,1.00006888,historical,22252727311.0,historical,22253844180.0,historical,1.000260265,historical,1.000315804,historical,99988156726.0,historical,0.668448641,historical,0.663128662,historical,66099775424.0,historical,34593323405.0,historical,0.387973761,historical,0.383390613,historical,13244368678.0,historical,23633184729.0,historical,59.60240728,historical,56.67840712,historical,0.078247012,historical,0.079186825,historical,141806000000.0,historical,11046209793.0,historical,10843621423.0,historical,100000000000.0,historical,0.108362349,historical,0.108145582,historical
2023-11-13,19541418.03,historical,714107000000.0,historical,36814.40226,historical,36974.94081,historical,120260400.8,historical,248041000000.0,historical,2055.451362,historical,2093.881791,historical,1.000098106,historical,1.000019287,historical,22047998417.0,historical,22049812527.0,historical,1.000382512,historical,1.00050803,historical,99988153486.0,historical,0.654252871,historical,0.674783886,historical,66919255208.0,historical,34595742584.0,historical,0.374062928,historical,0.367250242,historical,12400759309.0,historical,22047841509.0,historical,57.92619235,historical,53.79595201,historical,0.076492267,historical,0.078277323,historical,141819000000.0,historical,10608904643.0,historical,10710718518.0,historical,100000000000.0,historical,0.109583325,historical,0.110485205,historical
2023-11-14,19542280.53,historical,695523000000.0,historical,35338.27187,historical,36482.67522,historical,120258761.2,historical,238406000000.0,historical,2046.396326,historical,1982.239673,historical,1.000120497,historical,1.000030237,historical,21883265214.0,historical,21885651948.0,historical,1.000161059,historical,1.000215176,historical,99988150266.0,historical,0.654026789,historical,0.624649319,historical,63059796981.0,historical,34596648548.0,historical,0.362220874,historical,0.353565999,historical,12400557482.0,historical,24042779753.0,historical,54.13715147,historical,55.75058921,historical,0.071845797,historical,0.074391995,historical,141832000000.0,historical,10291676477.0,historical,10220690391.0,historical,100000000000.0,historical,0.102242273,historical,0.106202479,historical
2023-11-15,19543205.53,historical,739526000000.0,historical,37556.82855,historical,35833.34351,historical,120257438.2,historical,247282000000.0,historical,1987.716553,historical,2049.669346,historical,1.000712918,historical,1.000021626,historical,22097526480.0,historical,22102538788.0,historical,1.000770768,historical,1.000254583,historical,99988147801.0,historical,0.633655752,historical,0.643716887,historical,64876381219.0,historical,34599617337.0,historical,0.363500419,historical,0.376247825,historical,13101917035.0,historical,27585020202.0,historical,59.69517183,historical,66.24886417,historical,0.075324369,historical,0.073784344,historical,141846000000.0,historical,10809074828.0,historical,10388584471.0,historical,100000000000.0,historical,0.103618476,historical,0.10390485,historical
2023-11-16,19544130.53,historical,706724000000.0,historical,35958.41175,historical,37344.84496,historical,120256064.9,historical,235658000000.0,historical,2042.440887,historical,1959.382814,historical,0.999835535,historical,1.000043388,historical,22171009014.0,historical,22168855300.0,historical,1.000058405,historical,1.000439562,historical,99988145552.0,historical,0.64390231,historical,0.617007375,historical,61077035958.0,historical,34601930373.0,historical,0.398545529,historical,0.369035788,historical,12754078693.0,historical,24269161417.0,historical,65.4511621,historical,61.62596141,historical,0.079692268,historical,0.081183911,historical,141860000000.0,historical,11104523093.0,historical,10230815398.0,historical,100000000000.0,historical,0.102109689,historical,0.104024893,historical
